date,ridership
2024-11-15,2473
2024-11-16,3431
2024-11-17,2190
2024-11-18,2196
2024-11-19,2320
2024-11-20,2296
2024-11-21,2271
2024-11-22,2372
2024-11-23,2966
2024-11-24,2195
2024-11-25,2217
2024-11-26,2575
2024-11-27,2787
2024-11-28,980
2024-11-29,3313
2024-11-30,3129
2024-12-01,2529
2024-12-02,2414
2024-12-03,2212
2024-12-04,2320
2024-12-05,1891
2024-12-06,2659
2024-12-07,3463
2024-12-08,2077
2024-12-09,2048
2024-12-10,2388
2024-12-11,2351
2024-12-12,2220
2024-12-13,3059
2024-12-14,5791
2024-12-15,1869
2024-12-16,2128
2024-12-17,2618
2024-12-18,2195
2024-12-19,2455
2024-12-20,2713
2024-12-21,3462
2024-12-22,3173
2024-12-23,2870
2024-12-24,2367
2024-12-25,974
2024-12-26,3163
2024-12-27,3525
2024-12-28,5328
2024-12-29,2145
2024-12-30,3078
2024-12-31,3275
